期間,,,,,業務内容,,"役割

規模",使用言語,DB,サーバOS,"FW・MW
ツール等",担当工程,,,,,,
,,,,,,,,,,,,要件定義,基本設計,詳細設計,実装・単体,結合テスト,総合テスト,保守・運用
2,2019年7月,,-,2019年8月,■メディアとの連携掲載,,,"PHP7.3
JavaScript
SQL
HTML
CSS",MySQL,Linux/UNIX,自社FW,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
担当しているECサイトから、メディアサイトへ誘導をかけコメントをした場合にリアルタイムでポイントを付与される全体のシステムを設計から開発、運用保守まで行った。

≪習得スキル≫
仕様決めの進め方
他サービスとのすり合わせ・連携方法

≪コメント≫",,"チーム構成

設計・開発：1名
実装支援：1名
責任者：1名

案件全体人数
3名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(2ヶ月間),,,,,,,,,,,,,,,,,
3,2019年12月,,-,2020年1月,■Backlogの通知をSlack連携させる,,,Go,MySQL,Linux/UNIX,Lambda,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
既存のBacklogの通知だと、中身まで出てしまい機微情報がSlackに流れるのを防ぎたいため、自前でAPI Gateway, Lambda, Cloudwatchなどを扱い実装を行った。

≪習得スキル≫
上記AWSのスキル

≪コメント≫",,"チーム構成

設計・開発：1名
責任者：1名

案件全体人数
2名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(2ヶ月間),,,,,,,,,,,,,,,,,
1,2020年2月,,-,2020年6月,■新規アフィリエイトシステムの設計~構築,,,"PHP7.3
JavaScript
SQL
HTML
CSS",MySQL,Linux/UNIX,自社FW,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
設計, 開発, 効果測定, 保守のすべてを主に一人で担当した
設計や開発段階ではチーム全体への共有や相談会を行い仕様を固めていった

≪習得スキル≫
アフィリエイトシステムへの深い理解
ポイントサイトでの不正事故への理解・対策方法の知識

≪コメント≫",,"チーム構成

設計・開発：1名
相談者：数名
責任者：1名

案件全体人数
約2名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(5ヶ月間),,,,,,,,,,,,,,,,,
4,2020年11月,,-,2021年2月,■ギフト券発券APIを叩き、サービス内でギフト発券を可能にした,,,"PHP7.3
JavaScript
SQL
HTML
CSS",MySQL,Linux/UNIX,自社FW,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
運用者が対象ユーザのメールアドレスをuploadすると対象者に対してギフト券の発券ができる状態にさせるサービスを作った

≪習得スキル≫
ギフト券についての知識
先方と自社でのステータスの相違がないような設計

≪コメント≫",,"チーム構成

設計：2名
開発：1名
責任者：1名

案件全体人数
3名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(4ヶ月間),,,,,,,,,,,,,,,,,
5,2022年7月,,-,2022年9月,■自社のアプリへの機能追加,,,swift,- ,MacOS,"AppTrackingTransparency, 
AuthenticationServices, 
Sign in with Apple JS,
etc",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
アカウント削除機能と、会員登録時の氏名の入力補完のタスクを行った。

≪習得スキル≫
swift, apple developerの知識

≪コメント≫",,"チーム構成

設計・開発：1名
責任者：1名

案件全体人数
2名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(2ヶ月間),,,,,,,,,,,,,,,,,
6,2022年12月,,-,2023年2月,■新しいユーザ訪問訴求コンテンツの作成,,,"PHP7.3
JavaScript
SQL
HTML
CSS",MySQL,Linux/UNIX,自社FW,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
コンテンツの企画から携わり、設計から開発まですべてを担当した。
ユーザの訪問訴求コンテンツを何かしら作りたいという要望から、要件を決めていきリリースまで持っていった。

≪習得スキル≫
企画力
着手スコープの狭め方
チームマネジメント

≪コメント≫",,"チーム構成

企画：2名
設計・開発：1名
デザイン：1名

案件全体人数
3名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(3ヶ月間),,,,,,,,,,,,,,,,,
7,2023年4月,,-,2023年7月,■EUC-JPのデータベースをUTF-8にする,,,"PHP7.3
JavaScript
SQL
HTML
CSS",MySQL,Linux/UNIX,自社FW,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
どのように移行するかの選定や
移行スクリプトなどの準備
実際の移行計画の用意・周知やリハーサル・本番を通して
3名のチームで行った

≪習得スキル≫
ECS, StepFunctionの知識
文字コードの知識など

≪コメント≫",,"チーム構成

計画・設計・実装: 3名

案件全体人数
3名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(4ヶ月間),,,,,,,,,,,,,,,,,
8,2024年2月,,-,2024年5月,■広告出稿における外部連携先との繋ぎ込み作業を管理画面化する,,,"PHP7.3
JavaScript
SQL
HTML
CSS",MySQL,Linux/UNIX,自社FW,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
外部連携との繋ぎ込みシステムの現状調査
ビジネスサイドと協業して管理画面の設計

≪コメント≫
今まで連携の旅にエンジニアコストがかかっていたのを0にし、ビジネスサイドのみで完結できるようにした。
既存のシステムに自ら疑問を持ち、改善の提案、ビジネスサイドとの工数確保の合意、要件定義、実装までを行った。",,"チーム構成

計画・設計・実装: 1名

案件全体人数
2名",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,(3ヶ月間),,,,,,,,,,,,,,,,,
